p_c,rho,E_years,C,A_thr_10pct,A_thr_20pct
1.0,1.0,0,Low,0.8441551551551552,0.6703293293293293
1.0,1.0,0,Moderate,0.8741251251251252,0.7352642642642643
1.0,1.0,0,High,0.8941051051051051,0.7792202202202203
1.0,1.0,2,Low,0.8381611611611612,0.6523473473473473
1.0,1.0,2,Moderate,0.8701291291291292,0.7252742742742743
1.0,1.0,2,High,0.8911081081081081,0.7732262262262263
1.0,1.0,10,Low,0.8051941941941942,0.5384614614614615
1.0,1.0,10,Moderate,0.8511481481481482,0.6703293293293293
1.0,1.0,10,High,0.8791201201201202,0.7402592592592593
1.0,0.7,0,Low,0.7722272272272273,0.5004994994994995
1.0,0.7,0,Moderate,0.8161831831831833,0.6053943943943945
1.0,0.7,0,High,0.8461531531531532,0.6733263263263264
1.0,0.7,2,Low,0.7622372372372372,0.46453553553553556
1.0,0.7,2,Moderate,0.8101891891891893,0.5864134134134135
1.0,0.7,2,High,0.8421571571571572,0.6613383383383383
1.0,0.7,10,Low,0.7042952952952953,0.001
1.0,0.7,10,Moderate,0.7782212212212213,0.4655345345345346
1.0,0.7,10,High,0.8221771771771772,0.5984014014014014
1.0,0.5,0,Low,0.6703293293293293,0.22577477477477478
1.0,0.5,0,Moderate,0.7352642642642643,0.4055945945945946
1.0,0.5,0,High,0.7792202202202203,0.5164834834834835
1.0,0.5,2,Low,0.6523473473473473,0.12987087087087087
1.0,0.5,2,Moderate,0.7252742742742743,0.36563463463463464
1.0,0.5,2,High,0.7732262262262263,0.4935065065065065
1.0,0.5,10,Low,0.5384614614614615,0.001
1.0,0.5,10,Moderate,0.6703293293293293,0.001
1.0,0.5,10,High,0.7402592592592593,0.34265765765765765
0.9,1.0,0,Low,0.9000990990990991,0.7392602602602603
0.9,1.0,0,Moderate,0.9000990990990991,0.7692302302302303
0.9,1.0,0,High,0.9000990990990991,0.7902092092092092
0.9,1.0,2,Low,0.9000990990990991,0.7312682682682683
0.9,1.0,2,Moderate,0.9000990990990991,0.7652342342342343
0.9,1.0,2,High,0.9000990990990991,0.7872122122122123
0.9,1.0,10,Low,0.9000990990990991,0.6913083083083084
0.9,1.0,10,Moderate,0.9000990990990991,0.7422572572572573
0.9,1.0,10,High,0.9000990990990991,0.7722272272272273
0.9,0.7,0,Low,0.8631361361361362,0.6343653653653654
0.9,0.7,0,Moderate,0.8631361361361362,0.6783213213213214
0.9,0.7,0,High,0.8631361361361362,0.7082912912912913
0.9,0.7,2,Low,0.8631361361361362,0.6223773773773774
0.9,0.7,2,Moderate,0.8631361361361362,0.6713283283283283
0.9,0.7,2,High,0.8631361361361362,0.7032962962962963
0.9,0.7,10,Low,0.8631361361361362,0.5494504504504505
0.9,0.7,10,Moderate,0.8631361361361362,0.6323673673673674
0.9,0.7,10,High,0.8631361361361362,0.6793203203203203
0.9,0.5,0,Low,0.8191801801801802,0.5004994994994995
0.9,0.5,0,Moderate,0.8191801801801802,0.5634364364364365
0.9,0.5,0,High,0.8191801801801802,0.6053943943943945
0.9,0.5,2,Low,0.8191801801801802,0.4795205205205205
0.9,0.5,2,Moderate,0.8191801801801802,0.5514484484484484
0.9,0.5,2,High,0.8191801801801802,0.5974024024024024
0.9,0.5,10,Low,0.8191801801801802,0.3256746746746747
0.9,0.5,10,Moderate,0.8191801801801802,0.48151851851851857
0.9,0.5,10,High,0.8191801801801802,0.5564434434434434
0.8,1.0,0,Low,0.9520470470470471,0.8001991991991992
0.8,1.0,0,Moderate,0.9250740740740742,0.8001991991991992
0.8,1.0,0,High,0.9060930930930932,0.8001991991991992
0.8,1.0,2,Low,0.9560430430430431,0.8001991991991992
0.8,1.0,2,Moderate,0.9280710710710711,0.8001991991991992
0.8,1.0,2,High,0.9090900900900901,0.8001991991991992
0.8,1.0,10,Low,0.9780210210210211,0.8001991991991992
0.8,1.0,10,Moderate,0.9430560560560561,0.8001991991991992
0.8,1.0,10,High,0.9200790790790792,0.8001991991991992
0.8,0.7,0,Low,0.9370620620620621,0.7372622622622623
0.8,0.7,0,Moderate,0.9020970970970972,0.7372622622622623
0.8,0.7,0,High,0.8781211211211212,0.7372622622622623
0.8,0.7,2,Low,0.9430560560560561,0.7372622622622623
0.8,0.7,2,Moderate,0.9070920920920922,0.7372622622622623
0.8,0.7,2,High,0.8811181181181181,0.7372622622622623
0.8,0.7,10,Low,0.9710280280280281,0.7372622622622623
0.8,0.7,10,Moderate,0.9260730730730731,0.7372622622622623
0.8,0.7,10,High,0.8961031031031031,0.7372622622622623
0.8,0.5,0,Low,0.9210780780780782,0.6673323323323324
0.8,0.5,0,Moderate,0.8781211211211212,0.6673323323323324
0.8,0.5,0,High,0.8471521521521522,0.6673323323323324
0.8,0.5,2,Low,0.9290700700700701,0.6673323323323324
0.8,0.5,2,Moderate,0.8831161161161162,0.6673323323323324
0.8,0.5,2,High,0.8511481481481482,0.6673323323323324
0.8,0.5,10,Low,0.9640350350350351,0.6673323323323324
0.8,0.5,10,Moderate,0.9090900900900901,0.6673323323323324
0.8,0.5,10,High,0.8701291291291292,0.6673323323323324
