coef,perturbation,value,spearman_rho,max_abs_delta,novhigh_A_thr_10,novhigh_A_thr_20
beta_E,-100%,0.2,0.8929,0.2,0.894,0.779
beta_E,-50%,-0.1,0.9951,0.05,0.894,0.779
beta_E,0,-0.0,0.9554,0.1,0.894,0.779
beta_E,+50%,-0.3,0.9812,0.05,0.894,0.779
beta_E,+100%,-0.4,0.9542,0.1,0.894,0.779
beta_E,sign_flip,0.2,0.8929,0.2,0.894,0.779
beta_C,-100%,-0.2,0.7702,0.2,0.805,0.538
beta_C,-50%,0.1,0.9902,0.05,0.881,0.749
beta_C,0,0.0,0.9683,0.1,0.863,0.708
beta_C,+50%,0.3,0.9925,0.05,0.9,0.8
beta_C,+100%,0.4,0.9895,0.1,0.9,0.8
beta_C,sign_flip,-0.2,0.7702,0.2,0.805,0.538
beta_AE,-100%,-0.1,0.9788,0.05,0.894,0.779
beta_AE,-50%,0.05,0.9951,0.013,0.894,0.779
beta_AE,0,0.0,0.9884,0.025,0.894,0.779
beta_AE,+50%,0.15,0.9986,0.013,0.894,0.779
beta_AE,+100%,0.2,0.9969,0.025,0.894,0.779
beta_AE,sign_flip,-0.1,0.9788,0.05,0.894,0.779
beta_AC,-100%,-0.1,0.9849,0.05,0.869,0.732
beta_AC,-50%,0.05,0.9976,0.013,0.888,0.769
beta_AC,0,0.0,0.9915,0.025,0.882,0.757
beta_AC,+50%,0.15,0.9994,0.013,0.899,0.789
beta_AC,+100%,0.2,0.9973,0.025,0.9,0.798
beta_AC,sign_flip,-0.1,0.9849,0.05,0.869,0.732
