A,E_years,C,C_label,Reliance_mean,Reliance_sd,Error_mean,Error_sd
0.5,0,0.0,Low,0.571,0.05,0.286,0.032
0.5,0,0.5,Moderate,0.696,0.05,0.348,0.032
0.5,0,1.0,High,0.821,0.05,0.411,0.032
0.5,2,0.0,Low,0.541,0.05,0.271,0.032
0.5,2,0.5,Moderate,0.666,0.05,0.333,0.032
0.5,2,1.0,High,0.791,0.05,0.396,0.032
0.5,10,0.0,Low,0.421,0.05,0.211,0.032
0.5,10,0.5,Moderate,0.546,0.05,0.273,0.032
0.5,10,1.0,High,0.671,0.05,0.336,0.032
0.7,0,0.0,Low,0.611,0.05,0.184,0.025
0.7,0,0.5,Moderate,0.746,0.05,0.224,0.025
0.7,0,1.0,High,0.881,0.05,0.265,0.025
0.7,2,0.0,Low,0.585,0.05,0.176,0.025
0.7,2,0.5,Moderate,0.72,0.05,0.216,0.025
0.7,2,1.0,High,0.855,0.05,0.257,0.025
0.7,10,0.0,Low,0.481,0.05,0.145,0.025
0.7,10,0.5,Moderate,0.616,0.05,0.185,0.025
0.7,10,1.0,High,0.751,0.05,0.226,0.025
0.9,0,0.0,Low,0.651,0.05,0.066,0.021
0.9,0,0.5,Moderate,0.796,0.05,0.08,0.021
0.9,0,1.0,High,0.938,0.045,0.094,0.02
0.9,2,0.0,Low,0.629,0.05,0.063,0.021
0.9,2,0.5,Moderate,0.774,0.05,0.078,0.021
0.9,2,1.0,High,0.918,0.048,0.092,0.021
0.9,10,0.0,Low,0.541,0.05,0.055,0.021
0.9,10,0.5,Moderate,0.686,0.05,0.069,0.021
0.9,10,1.0,High,0.831,0.05,0.084,0.021
